Time(year-month-day h:m:s);Total solar irradiance (W/m2);Direct normal irradiance (W/m2);Global horizontal irradiance (W/m2);Air temperature  (°C) ;Atmosphere (hpa);Relative humidity (%);Power (MW);;
2019-01-14 01:00:00;0,00 ;0,00 ;0,00 ;16,38 ;830,96 ;26,10 ;0,00 ;;
2019-01-14 01:15:00;0,00 ;0,00 ;0,00 ;16,01 ;830,84 ;26,97 ;0,00 ;;
2019-01-14 01:30:00;0,00 ;0,00 ;0,00 ;16,06 ;830,87 ;26,93 ;0,00 ;;
2019-01-14 01:45:00;0,00 ;0,00 ;0,00 ;15,53 ;830,86 ;28,12 ;0,00 ;;
2019-01-14 02:00:00;0,00 ;0,00 ;0,00 ;14,79 ;830,97 ;30,40 ;0,00 ;;
2019-01-14 02:15:00;0,00 ;0,00 ;0,00 ;14,49 ;830,90 ;31,46 ;0,00 ;;
2019-01-14 02:30:00;0,00 ;0,00 ;0,00 ;14,49 ;830,81 ;31,59 ;0,00 ;;
2019-01-14 02:45:00;0,00 ;0,00 ;0,00 ;13,71 ;830,74 ;33,66 ;0,00 ;;
2019-01-14 03:00:00;0,00 ;0,00 ;0,00 ;13,21 ;830,63 ;34,73 ;0,00 ;;
2019-01-14 03:15:00;0,00 ;0,00 ;0,00 ;13,78 ;830,58 ;33,36 ;0,00 ;;
2019-01-14 03:30:00;0,00 ;0,00 ;0,00 ;13,59 ;830,50 ;34,05 ;0,00 ;;
2019-01-14 03:45:00;0,00 ;0,00 ;0,00 ;13,05 ;830,50 ;35,43 ;0,00 ;;
2019-01-14 04:00:00;0,00 ;0,00 ;0,00 ;12,93 ;830,47 ;35,33 ;0,00 ;;
2019-01-14 04:15:00;0,00 ;0,00 ;0,00 ;13,18 ;830,34 ;33,77 ;0,00 ;;
2019-01-14 04:30:00;0,00 ;0,00 ;0,00 ;13,05 ;830,27 ;34,54 ;0,00 ;;
2019-01-14 04:45:00;0,00 ;0,00 ;0,00 ;13,24 ;830,20 ;35,15 ;0,00 ;;
2019-01-14 05:00:00;0,00 ;0,00 ;0,00 ;12,77 ;830,20 ;37,25 ;0,00 ;;
2019-01-14 05:15:00;0,00 ;0,00 ;0,00 ;12,91 ;830,20 ;38,47 ;0,00 ;;
2019-01-14 05:30:00;0,00 ;0,00 ;0,00 ;13,20 ;830,17 ;37,82 ;0,00 ;;
2019-01-14 05:45:00;0,00 ;0,00 ;0,00 ;13,20 ;830,10 ;37,59 ;0,00 ;;
2019-01-14 06:00:00;0,00 ;0,00 ;0,00 ;13,11 ;830,19 ;38,73 ;0,00 ;;
2019-01-14 06:15:00;0,00 ;0,00 ;0,00 ;12,79 ;830,32 ;40,43 ;0,00 ;;
2019-01-14 06:30:00;0,00 ;0,00 ;0,00 ;13,15 ;830,49 ;38,98 ;0,00 ;;
2019-01-14 06:45:00;0,00 ;0,00 ;0,00 ;12,70 ;830,56 ;38,93 ;0,00 ;;
2019-01-14 07:00:00;0,00 ;0,00 ;0,00 ;12,90 ;830,65 ;39,79 ;0,00 ;;
2019-01-14 07:15:00;0,00 ;0,00 ;0,00 ;13,28 ;830,80 ;39,85 ;0,00 ;;
2019-01-14 07:30:00;0,00 ;0,00 ;0,00 ;13,08 ;830,92 ;40,19 ;0,00 ;;
2019-01-14 07:45:00;0,00 ;0,00 ;0,00 ;12,84 ;831,12 ;40,73 ;0,00 ;;
2019-01-14 08:00:00;0,00 ;0,00 ;0,00 ;12,67 ;831,20 ;40,94 ;0,00 ;;
2019-01-14 08:15:00;1,40 ;0,33 ;0,07 ;12,77 ;831,32 ;41,19 ;0,01 ;;
2019-01-14 08:30:00;32,60 ;23,13 ;11,00 ;12,75 ;831,49 ;42,00 ;0,63 ;;
2019-01-14 08:45:00;219,33 ;138,67 ;61,00 ;13,30 ;831,50 ;41,12 ;3,05 ;;
2019-01-14 09:00:00;321,27 ;5,60 ;113,47 ;14,36 ;831,73 ;39,13 ;5,38 ;;
2019-01-14 09:15:00;440,53 ;0,00 ;179,67 ;14,83 ;831,66 ;38,05 ;8,15 ;;
2019-01-14 09:30:00;523,00 ;174,47 ;176,13 ;15,03 ;831,79 ;37,75 ;10,60 ;;
2019-01-14 09:45:00;550,07 ;419,40 ;120,07 ;15,09 ;831,80 ;37,62 ;11,84 ;;
2019-01-14 10:00:00;640,80 ;608,40 ;94,87 ;14,63 ;831,92 ;39,57 ;14,58 ;;
2019-01-14 10:15:00;694,93 ;805,60 ;59,67 ;14,77 ;832,12 ;39,59 ;16,71 ;;
2019-01-14 10:30:00;732,73 ;851,27 ;69,27 ;14,66 ;832,39 ;40,41 ;18,34 ;;
2019-01-14 10:45:00;780,33 ;889,93 ;78,87 ;15,09 ;832,31 ;40,48 ;20,00 ;;
2019-01-14 11:00:00;845,67 ;920,93 ;87,40 ;15,68 ;832,20 ;38,94 ;21,71 ;;
2019-01-14 11:15:00;911,47 ;938,07 ;94,73 ;16,27 ;832,17 ;37,51 ;23,16 ;;
2019-01-14 11:30:00;959,27 ;948,80 ;100,73 ;16,53 ;832,00 ;36,65 ;24,24 ;;
2019-01-14 11:45:00;986,40 ;946,67 ;105,20 ;16,99 ;831,97 ;35,43 ;25,18 ;;
2019-01-14 12:00:00;996,53 ;935,60 ;107,60 ;17,31 ;831,80 ;33,94 ;25,64 ;;
2019-01-14 12:15:00;1046,20 ;949,93 ;112,93 ;17,69 ;831,68 ;32,30 ;26,87 ;;
2019-01-14 12:30:00;1078,80 ;935,67 ;113,93 ;18,03 ;831,26 ;31,41 ;27,44 ;;
2019-01-14 12:45:00;1073,20 ;924,80 ;114,33 ;18,49 ;831,01 ;30,19 ;27,56 ;;
2019-01-14 13:00:00;1103,40 ;945,93 ;118,87 ;18,85 ;830,76 ;29,07 ;28,33 ;;
2019-01-14 13:15:00;983,13 ;835,53 ;104,60 ;19,19 ;830,40 ;27,85 ;25,33 ;;
2019-01-14 13:30:00;1113,20 ;990,60 ;124,33 ;19,39 ;830,01 ;27,17 ;28,38 ;;
2019-01-14 13:45:00;1143,93 ;1004,60 ;126,93 ;19,87 ;829,71 ;26,25 ;28,63 ;;
2019-01-14 14:00:00;1138,60 ;953,27 ;119,60 ;20,13 ;829,31 ;25,76 ;28,16 ;;
2019-01-14 14:15:00;1038,87 ;899,07 ;108,47 ;20,51 ;828,99 ;25,14 ;26,07 ;;
2019-01-14 14:30:00;1038,00 ;893,80 ;107,20 ;20,67 ;828,66 ;23,99 ;26,42 ;;
2019-01-14 14:45:00;906,40 ;785,33 ;93,80 ;20,57 ;828,35 ;23,71 ;23,14 ;;
2019-01-14 15:00:00;932,53 ;842,67 ;95,20 ;20,59 ;828,11 ;22,27 ;24,22 ;;
2019-01-14 15:15:00;798,00 ;716,87 ;118,40 ;21,09 ;828,01 ;22,89 ;20,32 ;;
2019-01-14 15:30:00;861,67 ;872,33 ;92,60 ;21,63 ;827,83 ;22,47 ;22,20 ;;
2019-01-14 15:45:00;690,47 ;755,07 ;74,87 ;21,48 ;827,75 ;22,71 ;18,12 ;;
2019-01-14 16:00:00;678,87 ;748,20 ;88,67 ;21,37 ;827,77 ;22,54 ;17,92 ;;
2019-01-14 16:15:00;551,60 ;521,80 ;121,67 ;21,14 ;827,75 ;22,23 ;14,33 ;;
2019-01-14 16:30:00;392,87 ;158,20 ;200,07 ;20,75 ;827,79 ;22,35 ;10,62 ;;
2019-01-14 16:45:00;449,07 ;250,33 ;201,80 ;21,06 ;827,67 ;21,47 ;12,23 ;;
2019-01-14 17:00:00;484,00 ;285,13 ;176,20 ;21,23 ;827,65 ;21,16 ;12,03 ;;
2019-01-14 17:15:00;346,47 ;67,07 ;181,53 ;21,21 ;827,58 ;20,73 ;8,21 ;;
2019-01-14 17:30:00;218,07 ;71,00 ;120,33 ;20,91 ;827,69 ;20,55 ;5,44 ;;
2019-01-14 17:45:00;204,93 ;70,33 ;107,60 ;20,50 ;827,76 ;20,44 ;5,05 ;;
2019-01-14 18:00:00;294,33 ;13,60 ;121,67 ;20,95 ;827,71 ;19,35 ;6,20 ;;
2019-01-14 18:15:00;102,00 ;11,20 ;38,60 ;20,55 ;827,70 ;19,53 ;2,06 ;;
2019-01-14 18:30:00;40,87 ;1,27 ;13,20 ;19,93 ;827,69 ;20,11 ;0,79 ;;
2019-01-14 18:45:00;3,47 ;0,27 ;0,87 ;19,61 ;827,84 ;20,49 ;0,07 ;;
2019-01-14 19:00:00;0,00 ;0,00 ;0,00 ;19,53 ;828,11 ;20,01 ;0,00 ;;
2019-01-14 19:15:00;0,00 ;0,00 ;0,00 ;19,36 ;828,38 ;19,92 ;0,00 ;;
2019-01-14 19:30:00;0,00 ;0,00 ;0,00 ;19,39 ;828,69 ;19,29 ;0,00 ;;
2019-01-14 19:45:00;0,00 ;0,00 ;0,00 ;19,12 ;828,82 ;19,80 ;0,00 ;;
2019-01-14 20:00:00;0,00 ;0,00 ;0,00 ;18,93 ;829,09 ;20,36 ;0,00 ;;
2019-01-14 20:15:00;0,00 ;0,00 ;0,00 ;18,75 ;829,10 ;20,83 ;0,00 ;;
2019-01-14 20:30:00;0,00 ;0,00 ;0,00 ;18,54 ;829,34 ;21,21 ;0,00 ;;
2019-01-14 20:45:00;0,00 ;0,00 ;0,00 ;18,48 ;829,56 ;21,92 ;0,00 ;;
2019-01-14 21:00:00;0,00 ;0,00 ;0,00 ;18,29 ;829,81 ;23,41 ;0,00 ;;
2019-01-14 21:15:00;0,00 ;0,00 ;0,00 ;18,17 ;829,96 ;24,53 ;0,00 ;;
2019-01-14 21:30:00;0,00 ;0,00 ;0,00 ;17,85 ;830,19 ;26,03 ;0,00 ;;
2019-01-14 21:45:00;0,00 ;0,00 ;0,00 ;17,71 ;830,26 ;26,81 ;0,00 ;;
2019-01-14 22:00:00;0,00 ;0,00 ;0,00 ;17,56 ;830,33 ;27,21 ;0,00 ;;
2019-01-14 22:15:00;0,00 ;0,00 ;0,00 ;17,37 ;830,52 ;27,75 ;0,00 ;;
2019-01-14 22:30:00;0,00 ;0,00 ;0,00 ;17,06 ;830,60 ;28,58 ;0,00 ;;
2019-01-14 22:45:00;0,00 ;0,00 ;0,00 ;16,71 ;830,66 ;30,24 ;0,00 ;;
2019-01-14 23:00:00;0,00 ;0,00 ;0,00 ;16,47 ;830,77 ;31,35 ;0,00 ;;
2019-01-14 23:15:00;0,00 ;0,00 ;0,00 ;16,25 ;830,82 ;31,97 ;0,00 ;;
2019-01-14 23:30:00;0,00 ;0,00 ;0,00 ;16,16 ;830,95 ;31,90 ;0,00 ;;
2019-01-14 23:45:00;0,00 ;0,00 ;0,00 ;16,04 ;831,04 ;32,21 ;0,00 ;;
2019-01-15 00:00:00;0,00 ;0,00 ;0,00 ;15,97 ;831,03 ;32,33 ;0,00 ;;
2019-01-15 00:15:00;0,00 ;0,00 ;0,00 ;15,69 ;831,04 ;33,21 ;0,00 ;;
2019-01-15 00:30:00;0,00 ;0,00 ;0,00 ;15,48 ;831,19 ;34,21 ;0,00 ;;
2019-01-15 00:45:00;0,00 ;0,00 ;0,00 ;15,34 ;831,20 ;35,24 ;0,00 ;;
2019-01-15 01:00:00;0,00 ;0,00 ;0,00 ;15,18 ;831,20 ;36,05 ;0,00 ;;
2019-01-15 01:15:00;0,00 ;0,00 ;0,00 ;14,96 ;831,20 ;36,73 ;0,00 ;;
2019-01-15 01:30:00;0,00 ;0,00 ;0,00 ;15,03 ;831,20 ;36,70 ;0,00 ;;
2019-01-15 01:45:00;0,00 ;0,00 ;0,00 ;14,95 ;831,20 ;37,13 ;0,00 ;;
2019-01-15 02:00:00;0,00 ;0,00 ;0,00 ;14,75 ;831,21 ;37,54 ;0,00 ;;
2019-01-15 02:15:00;0,00 ;0,00 ;0,00 ;14,27 ;831,00 ;38,69 ;0,00 ;;
2019-01-15 02:30:00;0,00 ;0,00 ;0,00 ;14,21 ;830,84 ;39,03 ;0,00 ;;
2019-01-15 02:45:00;0,00 ;0,00 ;0,00 ;14,10 ;830,84 ;39,59 ;0,00 ;;
2019-01-15 03:00:00;0,00 ;0,00 ;0,00 ;13,83 ;830,85 ;40,93 ;0,00 ;;
2019-01-15 03:15:00;0,00 ;0,00 ;0,00 ;13,81 ;830,94 ;41,50 ;0,00 ;;
2019-01-15 03:30:00;0,00 ;0,00 ;0,00 ;13,71 ;830,93 ;42,46 ;0,00 ;;
2019-01-15 03:45:00;0,00 ;0,00 ;0,00 ;13,42 ;830,94 ;43,88 ;0,00 ;;
2019-01-15 04:00:00;0,00 ;0,00 ;0,00 ;13,41 ;830,87 ;44,72 ;0,00 ;;
2019-01-15 04:15:00;0,00 ;0,00 ;0,00 ;13,39 ;830,74 ;45,61 ;0,00 ;;
2019-01-15 04:30:00;0,00 ;0,00 ;0,00 ;13,29 ;830,63 ;46,11 ;0,00 ;;
2019-01-15 04:45:00;0,00 ;0,00 ;0,00 ;13,45 ;830,58 ;46,03 ;0,00 ;;
2019-01-15 05:00:00;0,00 ;0,00 ;0,00 ;13,07 ;830,50 ;46,84 ;0,00 ;;
2019-01-15 05:15:00;0,00 ;0,00 ;0,00 ;13,24 ;830,56 ;46,35 ;0,00 ;;
2019-01-15 05:30:00;0,00 ;0,00 ;0,00 ;13,03 ;830,63 ;47,07 ;0,00 ;;
2019-01-15 05:45:00;0,00 ;0,00 ;0,00 ;12,81 ;830,70 ;48,01 ;0,00 ;;
2019-01-15 06:00:00;0,00 ;0,00 ;0,00 ;12,52 ;830,79 ;49,14 ;0,00 ;;
2019-01-15 06:15:00;0,00 ;0,00 ;0,00 ;12,73 ;830,86 ;49,59 ;0,00 ;;
2019-01-15 06:30:00;0,00 ;0,00 ;0,00 ;12,85 ;831,02 ;50,01 ;0,00 ;;
2019-01-15 06:45:00;0,00 ;0,00 ;0,00 ;12,44 ;831,16 ;51,25 ;0,00 ;;
2019-01-15 07:00:00;0,00 ;0,00 ;0,00 ;12,39 ;831,36 ;52,01 ;0,00 ;;
2019-01-15 07:15:00;0,00 ;0,00 ;0,00 ;12,22 ;831,42 ;52,32 ;0,00 ;;
2019-01-15 07:30:00;0,00 ;0,00 ;0,00 ;12,12 ;831,59 ;52,76 ;0,00 ;;
2019-01-15 07:45:00;0,00 ;0,00 ;0,00 ;12,09 ;831,72 ;53,06 ;0,00 ;;
2019-01-15 08:00:00;0,00 ;0,00 ;0,00 ;12,25 ;832,01 ;52,50 ;0,00 ;;
2019-01-15 08:15:00;5,40 ;1,07 ;2,07 ;12,14 ;832,22 ;52,49 ;0,12 ;;
2019-01-15 08:30:00;27,53 ;4,20 ;14,07 ;12,16 ;832,45 ;52,37 ;0,72 ;;
2019-01-15 08:45:00;66,80 ;7,60 ;30,47 ;12,35 ;832,60 ;51,64 ;1,47 ;;
2019-01-15 09:00:00;104,80 ;14,27 ;45,93 ;12,40 ;832,91 ;51,69 ;2,17 ;;
2019-01-15 09:15:00;310,07 ;2,93 ;133,33 ;12,97 ;833,06 ;50,52 ;6,16 ;;
2019-01-15 09:30:00;367,60 ;138,27 ;122,53 ;13,49 ;833,22 ;49,29 ;7,73 ;;
2019-01-15 09:45:00;517,20 ;347,33 ;130,80 ;13,69 ;833,36 ;49,11 ;10,95 ;;
2019-01-15 10:00:00;631,67 ;661,80 ;83,73 ;14,86 ;833,63 ;45,76 ;14,62 ;;
2019-01-15 10:15:00;620,47 ;659,40 ;98,60 ;15,02 ;833,56 ;44,50 ;15,02 ;;
2019-01-15 10:30:00;631,87 ;641,60 ;103,60 ;14,28 ;833,76 ;47,09 ;16,71 ;;
2019-01-15 10:45:00;633,53 ;725,13 ;65,93 ;14,50 ;833,64 ;46,16 ;16,50 ;;
2019-01-15 11:00:00;731,53 ;795,87 ;75,40 ;14,72 ;833,79 ;45,31 ;19,27 ;;
2019-01-15 11:15:00;889,00 ;924,40 ;93,13 ;15,11 ;833,77 ;44,34 ;22,73 ;;
2019-01-15 11:30:00;978,33 ;984,27 ;104,47 ;15,84 ;833,58 ;42,59 ;24,89 ;;
2019-01-15 11:45:00;930,87 ;905,00 ;99,07 ;15,97 ;833,38 ;42,29 ;23,39 ;;
2019-01-15 12:00:00;905,93 ;843,53 ;98,27 ;16,21 ;833,24 ;39,87 ;24,13 ;;
2019-01-15 12:15:00;940,53 ;842,53 ;100,00 ;16,23 ;832,92 ;38,50 ;24,03 ;;
2019-01-15 12:30:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;27,45 ;;
2019-01-15 12:45:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;28,07 ;;
2019-01-15 13:00:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;28,43 ;;
2019-01-15 13:15:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;28,59 ;;
2019-01-15 13:30:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;27,62 ;;
2019-01-15 13:45:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;29,08 ;;
2019-01-15 14:00:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;28,57 ;;
2019-01-15 14:15:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;28,14 ;;
2019-01-15 14:30:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;24,29 ;;
2019-01-15 14:45:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;26,72 ;;
2019-01-15 15:00:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;24,12 ;;
2019-01-15 15:15:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;23,33 ;;
2019-01-15 15:30:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;19,99 ;;
2019-01-15 15:45:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;7,35 ;;
2019-01-15 16:00:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;8,76 ;;
2019-01-15 16:15:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;5,28 ;;
2019-01-15 16:30:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;5,38 ;;
2019-01-15 16:45:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;4,23 ;;
2019-01-15 17:00:00;908,00 ;807,00 ;96,00 ;16,20 ;832,90 ;38,60 ;11,37 ;;
2019-01-15 17:15:00;515,07 ;352,20 ;168,27 ;19,14 ;828,56 ;24,24 ;11,39 ;;
2019-01-15 17:30:00;510,60 ;80,47 ;219,53 ;19,19 ;828,52 ;23,58 ;10,22 ;;
2019-01-15 17:45:00;352,87 ;13,40 ;134,53 ;19,16 ;828,61 ;24,25 ;6,87 ;;
2019-01-15 18:00:00;236,67 ;0,47 ;86,07 ;18,79 ;828,58 ;24,69 ;4,32 ;;
2019-01-15 18:15:00;117,40 ;21,40 ;40,47 ;18,17 ;828,58 ;25,16 ;2,49 ;;
2019-01-15 18:30:00;85,07 ;1,13 ;25,00 ;18,03 ;828,86 ;23,91 ;1,34 ;;
2019-01-15 18:45:00;6,00 ;0,20 ;1,00 ;17,65 ;828,99 ;23,74 ;0,06 ;;
2019-01-15 19:00:00;0,00 ;0,00 ;0,00 ;17,39 ;829,12 ;23,45 ;0,00 ;;
2019-01-15 19:15:00;0,00 ;0,00 ;0,00 ;17,18 ;829,35 ;24,25 ;0,00 ;;
2019-01-15 19:30:00;0,00 ;0,00 ;0,00 ;17,21 ;829,44 ;24,45 ;0,00 ;;
2019-01-15 19:45:00;0,00 ;0,00 ;0,00 ;17,03 ;829,80 ;24,68 ;0,00 ;;
2019-01-15 20:00:00;0,00 ;0,00 ;0,00 ;16,89 ;830,02 ;25,36 ;0,00 ;;
2019-01-15 20:15:00;0,00 ;0,00 ;0,00 ;16,78 ;830,27 ;26,12 ;0,00 ;;
2019-01-15 20:30:00;0,00 ;0,00 ;0,00 ;16,59 ;830,56 ;27,24 ;0,00 ;;
2019-01-15 20:45:00;0,00 ;0,00 ;0,00 ;16,48 ;830,49 ;27,48 ;0,00 ;;
2019-01-15 21:00:00;0,00 ;0,00 ;0,00 ;16,35 ;830,88 ;28,57 ;0,00 ;;
2019-01-15 21:15:00;0,00 ;0,00 ;0,00 ;16,20 ;831,05 ;28,87 ;0,00 ;;
2019-01-15 21:30:00;0,00 ;0,00 ;0,00 ;16,09 ;831,26 ;29,31 ;0,00 ;;
2019-01-15 21:45:00;0,00 ;0,00 ;0,00 ;15,78 ;831,49 ;29,53 ;0,00 ;;
2019-01-15 22:00:00;0,00 ;0,00 ;0,00 ;15,59 ;831,56 ;29,66 ;0,00 ;;
2019-01-15 22:15:00;0,00 ;0,00 ;0,00 ;15,52 ;831,51 ;29,16 ;0,00 ;;
2019-01-15 22:30:00;0,00 ;0,00 ;0,00 ;15,45 ;831,86 ;29,49 ;0,00 ;;
2019-01-15 22:45:00;0,00 ;0,00 ;0,00 ;15,36 ;831,85 ;29,56 ;0,00 ;;
2019-01-15 23:00:00;0,00 ;0,00 ;0,00 ;15,19 ;831,82 ;29,64 ;0,00 ;;
2019-01-15 23:15:00;0,00 ;0,00 ;0,00 ;15,09 ;831,73 ;29,76 ;0,00 ;;
2019-01-15 23:30:00;0,00 ;0,00 ;0,00 ;14,96 ;831,94 ;29,85 ;0,00 ;;
2019-01-15 23:45:00;0,00 ;0,00 ;0,00 ;14,81 ;831,99 ;30,43 ;0,00 ;;
2019-01-16 00:00:00;0,00 ;0,00 ;0,00 ;14,58 ;832,00 ;31,21 ;0,00 ;;
2019-01-16 00:15:00;0,00 ;0,00 ;0,00 ;14,22 ;832,12 ;32,14 ;0,00 ;;
2019-01-16 00:30:00;0,00 ;0,00 ;0,00 ;14,00 ;832,14 ;32,44 ;0,00 ;;
2019-01-16 00:45:00;0,00 ;0,00 ;0,00 ;13,87 ;832,05 ;32,84 ;0,00 ;;
2019-01-16 01:00:00;0,00 ;0,00 ;0,00 ;13,97 ;832,08 ;32,15 ;0,00 ;;
2019-01-16 01:15:00;0,00 ;0,00 ;0,00 ;13,91 ;832,11 ;32,03 ;0,00 ;;
2019-01-16 01:30:00;0,00 ;0,00 ;0,00 ;13,57 ;832,04 ;32,57 ;0,00 ;;
2019-01-16 01:45:00;0,00 ;0,00 ;0,00 ;13,27 ;832,09 ;33,31 ;0,00 ;;
2019-01-16 02:00:00;0,00 ;0,00 ;0,00 ;13,26 ;832,04 ;33,49 ;0,00 ;;
2019-01-16 02:15:00;0,00 ;0,00 ;0,00 ;13,15 ;832,03 ;34,88 ;0,00 ;;
2019-01-16 02:30:00;0,00 ;0,00 ;0,00 ;13,25 ;832,10 ;35,43 ;0,00 ;;
2019-01-16 02:45:00;0,00 ;0,00 ;0,00 ;13,19 ;832,13 ;35,57 ;0,00 ;;
2019-01-16 03:00:00;0,00 ;0,00 ;0,00 ;12,97 ;832,26 ;36,28 ;0,00 ;;
2019-01-16 03:15:00;0,00 ;0,00 ;0,00 ;12,93 ;832,37 ;36,36 ;0,00 ;;
2019-01-16 03:30:00;0,00 ;0,00 ;0,00 ;12,81 ;832,24 ;36,67 ;0,00 ;;
2019-01-16 03:45:00;0,00 ;0,00 ;0,00 ;12,73 ;832,11 ;36,56 ;0,00 ;;
2019-01-16 04:00:00;0,00 ;0,00 ;0,00 ;12,27 ;832,16 ;37,98 ;0,00 ;;
2019-01-16 04:15:00;0,00 ;0,00 ;0,00 ;11,93 ;832,25 ;39,51 ;0,00 ;;
2019-01-16 04:30:00;0,00 ;0,00 ;0,00 ;11,99 ;832,34 ;39,84 ;0,00 ;;
2019-01-16 04:45:00;0,00 ;0,00 ;0,00 ;12,15 ;832,42 ;39,73 ;0,00 ;;
2019-01-16 05:00:00;0,00 ;0,00 ;0,00 ;11,87 ;832,50 ;40,81 ;0,00 ;;
2019-01-16 05:15:00;0,00 ;0,00 ;0,00 ;11,95 ;832,50 ;41,36 ;0,00 ;;
2019-01-16 05:30:00;0,00 ;0,00 ;0,00 ;11,83 ;832,56 ;41,81 ;0,00 ;;
2019-01-16 05:45:00;0,00 ;0,00 ;0,00 ;11,61 ;832,51 ;42,50 ;0,00 ;;
2019-01-16 06:00:00;0,00 ;0,00 ;0,00 ;11,05 ;832,56 ;44,19 ;0,00 ;;
2019-01-16 06:15:00;0,00 ;0,00 ;0,00 ;10,35 ;832,79 ;46,35 ;0,00 ;;
2019-01-16 06:30:00;0,00 ;0,00 ;0,00 ;10,24 ;832,92 ;47,16 ;0,00 ;;
2019-01-16 06:45:00;0,00 ;0,00 ;0,00 ;10,02 ;833,19 ;47,98 ;0,00 ;;
2019-01-16 07:00:00;0,00 ;0,00 ;0,00 ;9,43 ;833,32 ;49,59 ;0,00 ;;
2019-01-16 07:15:00;0,00 ;0,00 ;0,00 ;9,19 ;833,55 ;50,02 ;0,00 ;;
2019-01-16 07:30:00;0,00 ;0,00 ;0,00 ;8,77 ;833,76 ;50,85 ;0,00 ;;
2019-01-16 07:45:00;0,00 ;0,00 ;0,00 ;9,11 ;834,04 ;50,61 ;0,00 ;;
2019-01-16 08:00:00;0,00 ;0,00 ;0,00 ;8,94 ;834,38 ;50,81 ;0,00 ;;
2019-01-16 08:15:00;3,73 ;0,53 ;0,80 ;8,39 ;834,74 ;53,28 ;0,07 ;;
2019-01-16 08:30:00;30,07 ;4,00 ;11,87 ;8,71 ;835,02 ;52,28 ;0,68 ;;
2019-01-16 08:45:00;154,87 ;85,20 ;49,67 ;8,84 ;835,21 ;53,03 ;2,39 ;;
2019-01-16 09:00:00;256,60 ;9,60 ;96,00 ;9,97 ;835,56 ;49,74 ;4,47 ;;
2019-01-16 09:15:00;356,53 ;0,00 ;149,53 ;10,41 ;835,68 ;48,23 ;6,84 ;;
2019-01-16 09:30:00;455,00 ;152,53 ;154,13 ;11,58 ;835,84 ;45,85 ;9,36 ;;
2019-01-16 09:45:00;529,53 ;380,93 ;130,00 ;11,13 ;835,95 ;47,29 ;11,69 ;;
2019-01-16 10:00:00;589,00 ;344,33 ;175,40 ;11,17 ;836,16 ;46,09 ;13,79 ;;
2019-01-16 10:15:00;639,93 ;752,33 ;56,13 ;12,34 ;836,23 ;42,87 ;15,92 ;;
2019-01-16 10:30:00;689,47 ;805,60 ;66,13 ;11,77 ;836,42 ;46,00 ;17,77 ;;
2019-01-16 10:45:00;743,47 ;848,93 ;75,60 ;12,28 ;836,41 ;44,58 ;19,45 ;;
2019-01-16 11:00:00;807,47 ;879,13 ;84,07 ;12,05 ;836,34 ;44,34 ;20,90 ;;
2019-01-16 11:15:00;873,53 ;897,53 ;91,20 ;12,81 ;836,37 ;43,15 ;22,30 ;;
2019-01-16 11:30:00;905,80 ;888,27 ;94,80 ;12,91 ;836,30 ;41,30 ;23,56 ;;
2019-01-16 11:45:00;958,33 ;905,60 ;101,20 ;13,23 ;836,37 ;40,07 ;24,77 ;;
2019-01-16 12:00:00;986,73 ;903,67 ;104,87 ;12,89 ;836,30 ;41,39 ;25,59 ;;
2019-01-16 12:15:00;1016,00 ;902,80 ;107,87 ;13,35 ;836,06 ;41,41 ;26,29 ;;
2019-01-16 12:30:00;1050,47 ;905,80 ;111,00 ;14,07 ;835,84 ;40,40 ;26,88 ;;
2019-01-16 12:45:00;1062,80 ;903,20 ;112,80 ;14,51 ;835,65 ;38,95 ;27,36 ;;
2019-01-16 13:00:00;1077,20 ;910,13 ;114,87 ;14,83 ;835,32 ;38,53 ;27,86 ;;
2019-01-16 13:15:00;1093,87 ;920,67 ;117,13 ;14,97 ;834,96 ;37,85 ;28,16 ;;
2019-01-16 13:30:00;1113,87 ;981,87 ;125,27 ;15,16 ;834,68 ;36,20 ;28,38 ;;
